INSTANCE,HEA-BEST,HEA-AVG
in02_334.dat,14757,14768.45
in02_335.dat,15789,15800.6
in02_336.dat,16567,16583.65
in02_337.dat,15961,15976.2
in02_338.dat,15497,15516.9
in02_339.dat,15941,15954.7
in02_340.dat,15217,15228.15
in02_341.dat,16735,16744.05
in02_342.dat,15494,15506.15
in02_343.dat,15920,15936.85
in02_344.dat,15838,15862.4
in02_345.dat,14912,14926
in02_346.dat,14690,14700.05
in02_347.dat,16087,16095.35
in02_348.dat,14514,14530.85
in02_349.dat,15228,15243.25
in02_350.dat,16163,16173.85
in02_351.dat,16072,16087.05
in02_352.dat,15881,15896.65
in02_353.dat,15043,15059.4
in02_354.dat,14937,14947.65
in02_355.dat,14525,14535.55
in02_356.dat,15276,15288.75
in02_357.dat,15891,15904.25
in02_358.dat,15941,15955.1
in02_359.dat,15792,15805.85
in02_360.dat,16811,16821.95
in06_001.dat,2569,2570
in06_002.dat,2627,2627
in06_003.dat,2881,2881
in06_004.dat,2887,2887.1
in06_005.dat,2922,2922
in06_006.dat,3117,3117
in06_007.dat,2865,2865
in06_008.dat,2707,2707
in06_009.dat,3366,3366
in06_010.dat,3303,3303
in06_011.dat,2978,2978
in06_012.dat,2657,2657
in06_013.dat,3504,3504
in06_014.dat,2959,2959
in06_015.dat,3225,3225
in06_016.dat,3533,3533
in06_017.dat,2679,2679
in06_018.dat,2812,2812
in06_019.dat,3453,3453
in06_020.dat,2564,2564
in06_021.dat,2633,2633
in06_022.dat,3387,3387
in06_023.dat,3074,3074
in06_024.dat,3037,3037
in06_025.dat,3043,3043
in06_026.dat,2488,2488
in06_027.dat,3388,3388
in06_028.dat,3136,3136
in06_029.dat,2865,2865
in06_030.dat,3037,3037
in06_031.dat,3370,3370
in06_032.dat,2771,2771
in06_033.dat,3536,3536
in06_034.dat,2862,2862
in06_035.dat,3170,3170
in06_036.dat,2760,2760
in06_037.dat,2924,2924
in06_038.dat,2743,2743
in06_039.dat,2923,2923
in06_040.dat,3091,3091
in06_041.dat,2876,2876
in06_042.dat,2851,2851
in06_043.dat,2760,2760
in06_044.dat,2554,2554
in06_045.dat,3178,3178
in06_046.dat,2653,2653
in06_047.dat,3357,3357
in06_048.dat,3044,3044
in06_049.dat,2980,2980
in06_050.dat,2651,2651
in06_051.dat,2886,2886
in06_052.dat,2633,2633
in06_053.dat,2325,2325
in06_054.dat,2836,2836
in06_055.dat,2845,2845
in06_056.dat,2596,2596
in06_057.dat,2737,2737
in06_058.dat,3351,3351
in06_059.dat,2904,2904
in06_060.dat,3466,3466
in06_061.dat,5513,5523.6
in06_062.dat,6146,6154.7
in06_063.dat,4831,4831.4
in06_064.dat,6098,6101.15
in06_065.dat,5868,5876
in06_066.dat,5829,5833
in06_067.dat,6293,6293
in06_068.dat,5287,5289
in06_069.dat,5789,5789.4
in06_070.dat,5996,6000
in06_071.dat,5841,5850.45
in06_072.dat,6003,6011
in06_073.dat,5485,5489.35
in06_074.dat,5862,5862
in06_075.dat,5623,5623.8
in06_076.dat,5896,5899.55
in06_077.dat,6041,6044.5
in06_078.dat,5804,5812.4
in06_079.dat,5936,5936.95
in06_080.dat,5646,5662.3
in06_081.dat,5093,5096.5
in06_082.dat,5647,5652.35
in06_083.dat,5471,5471.3
in06_084.dat,4946,4946
in06_085.dat,5200,5203.75
in06_086.dat,4922,4924.9
in06_087.dat,5680,5685.35
in06_088.dat,5137,5137.7
in06_089.dat,5515,5516.65
in06_090.dat,5919,5926.2
in06_091.dat,5146,5146.7
in06_092.dat,5019,5022.2
in06_093.dat,6425,6426.15
in06_094.dat,5301,5301.1
in06_095.dat,6455,6458.95
in06_096.dat,6343,6343.25
in06_097.dat,5657,5657.05
in06_098.dat,5523,5524.1
in06_099.dat,5531,5531.85
in06_100.dat,5955,5965.5
in06_101.dat,5679,5679
in06_102.dat,6108,6108
in06_103.dat,5270,5271.8
in06_104.dat,5530,5530
in06_105.dat,5658,5660.4
in06_106.dat,4453,4454.9
in06_107.dat,4693,4693.75
in06_108.dat,6195,6197.9
in06_109.dat,5286,5288.4
in06_110.dat,5334,5334
in06_111.dat,6063,6063
in06_112.dat,5349,5350.4
in06_113.dat,5660,5661
in06_114.dat,6726,6727.05
in06_115.dat,5534,5534
in06_116.dat,5301,5305.75
in06_117.dat,5067,5068.15
in06_118.dat,5328,5330.85
in06_119.dat,5075,5076.55
in06_120.dat,5595,5595.4
in06_121.dat,8459,8462.55
in06_122.dat,8443,8454.2
in06_123.dat,8522,8529.55
in06_124.dat,9344,9352.5
in06_125.dat,7940,7958.4
in06_126.dat,8074,8084.75
in06_127.dat,8394,8401.85
in06_128.dat,8841,8844.7
in06_129.dat,8788,8805.4
in06_130.dat,8213,8219.7
in06_131.dat,8512,8517.85
in06_132.dat,8376,8379.25
in06_133.dat,8439,8441.1
in06_134.dat,8419,8426.8
in06_135.dat,8607,8613.6
in06_136.dat,7891,7905.25
in06_137.dat,8530,8552.65
in06_138.dat,8808,8819.7
in06_139.dat,9263,9278.8
in06_140.dat,8118,8132.9
in06_141.dat,7948,7952.55
in06_142.dat,8030,8034.15
in06_143.dat,8811,8815.1
in06_144.dat,7394,7402.95
in06_145.dat,8696,8703.7
in06_146.dat,8324,8328.5
